Name,Price,Website,ImageName
"Smântână lichidă, 20% grăsime 200ml",6.79,https://www.freshful.ro/p/100032073-olympus-smantana-lichida-20-grasime-200ml,product1
Smântână lichidă UHT 35% grăsime 200ml,8.49,https://www.freshful.ro/p/100032077-olympus-smantana-lichida-uht-35-grasime-200ml,product2
